


------------------------------11/05/2025 08:55:39PM------------------------------
CPU Utilization: 0%
Cores used: 8
Cores available: 0

Core Utilization: 
------------------------------
Running processes:
autoP6388 (11/05/2025 08:55:39PM)	Core: 0	76/100
autoP6392 (11/05/2025 08:55:39PM)	Core: 1	69/100
autoP6390 (11/05/2025 08:55:39PM)	Core: 2	71/100
autoP6391 (11/05/2025 08:55:39PM)	Core: 3	70/100
autoP6389 (11/05/2025 08:55:39PM)	Core: 4	75/100
autoP6385 (11/05/2025 08:55:39PM)	Core: 5	82/100
autoP6386 (11/05/2025 08:55:39PM)	Core: 6	81/100
autoP6387 (11/05/2025 08:55:39PM)	Core: 7	80/100

 Finished processes:
p1 (11/05/2025 08:55:39PM)	Finished	6/6
p5 (11/05/2025 08:55:39PM)	Finished	7/7
p3 (11/05/2025 08:55:39PM)	Finished	11/11
p4 (11/05/2025 08:55:39PM)	Finished	12/12
p2 (11/05/2025 08:55:39PM)	Finished	13/13
autoP1 (11/05/2025 08:55:39PM)	Finished	100/100
autoP2 (11/05/2025 08:55:39PM)	Finished	100/100
autoP3 (11/05/2025 08:55:39PM)	Finished	100/100
autoP4 (11/05/2025 08:55:39PM)	Finished	100/100
autoP5 (11/05/2025 08:55:39PM)	Finished	100/100
autoP6 (11/05/2025 08:55:39PM)	Finished	100/100
autoP7 (11/05/2025 08:55:39PM)	Finished	100/100
autoP8 (11/05/2025 08:55:39PM)	Finished	100/100
autoP9 (11/05/2025 08:55:39PM)	Finished	100/100
autoP10 (11/05/2025 08:55:39PM)	Finished	100/100
autoP11 (11/05/2025 08:55:39PM)	Finished	100/100
autoP12 (11/05/2025 08:55:39PM)	Finished	100/100
autoP13 (11/05/2025 08:55:39PM)	Finished	100/100
autoP14 (11/05/2025 08:55:39PM)	Finished	100/100
autoP15 (11/05/2025 08:55:39PM)	Finished	100/100
autoP16 (11/05/2025 08:55:39PM)	Finished	100/100
autoP17 (11/05/2025 08:55:39PM)	Finished	100/100
autoP18 (11/05/2025 08:55:39PM)	Finished	100/100
autoP19 (11/05/2025 08:55:39PM)	Finished	100/100
autoP20 (11/05/2025 08:55:39PM)	Finished	100/100
autoP21 (11/05/2025 08:55:39PM)	Finished	100/100
autoP22 (11/05/2025 08:55:39PM)	Finished	100/100
autoP23 (11/05/2025 08:55:39PM)	Finished	100/100
autoP24 (11/05/2025 08:55:39PM)	Finished	100/100
autoP25 (11/05/2025 08:55:39PM)	Finished	100/100
autoP26 (11/05/2025 08:55:39PM)	Finished	100/100
autoP27 (11/05/2025 08:55:39PM)	Finished	100/100
autoP28 (11/05/2025 08:55:39PM)	Finished	100/100
autoP29 (11/05/2025 08:55:39PM)	Finished	100/100
autoP30 (11/05/2025 08:55:39PM)	Finished	100/100
autoP31 (11/05/2025 08:55:39PM)	Finished	100/100
autoP32 (11/05/2025 08:55:39PM)	Finished	100/100
autoP33 (11/05/2025 08:55:39PM)	Finished	100/100
autoP34 (11/05/2025 08:55:39PM)	Finished	100/100
autoP35 (11/05/2025 08:55:39PM)	Finished	100/100
autoP36 (11/05/2025 08:55:39PM)	Finished	100/100
autoP37 (11/05/2025 08:55:39PM)	Finished	100/100
